昆明理工大学,昆明市,否,否,是,工科类院校,云南省教育厅,大学
中央民族大学,北京市,是,是,是,民族类院校,国家民族事务委员会,大学
中国石油大学(华东),东营市,是,否,是,工科类院校,教育部,大学
对外经济贸易大学,北京市,是,否,是,财经类院校,教育部,大学
浙江师范大学,金华市,否,否,是,师范类院校,浙江省教育厅,大学
首都医科大学,北京市,否,否,是,医药类院校,北京市教育委员会,大学
安徽大学,合肥市,是,否,是,综合类院校,安徽省人民政府,大学
南京工业大学,南京市,否,否,是,工科类院校,江苏省教育厅,大学
上海理工大学,上海市,否,否,是,工科类院校,上海市教育委员会,大学
杭州电子科技大学,杭州市,否,否,是,工科类院校,浙江省教育厅,大学
天津师范大学,天津市,否,否,是,师范类院校,天津市教育委员会,大学
河北大学,保定市,否,否,是,综合类院校,河北省教育厅,大学
东北林业大学,哈尔滨市,是,否,是,林业类院校,教育部,大学
湘潭大学,湘潭市,否,否,是,综合类院校,湖南省教育厅,大学
新疆大学,乌鲁木齐市,是,否,是,综合类院校,新疆维吾尔自治区教育厅,大学
宁波大学,宁波市,否,否,是,综合类院校,浙江省教育厅,大学
黑龙江大学,哈尔滨市,否,否,是,综合类院校,黑龙江省教育厅,大学
扬州大学,扬州市,否,否,是,综合类院校,江苏省教育厅,大学
安徽师范大学,合肥市,否,否,是,师范类院校,安徽省教育厅,大学
山东师范大学,济南市,否,否,是,师范类院校,山东省教育厅,大学
中央财经大学,北京市,是,否,是,财经类院校,教育部,大学
江苏大学,镇江市,否,否,是,综合类院校,江苏省教育厅,大学
上海师范大学,上海市,否,否,是,师范类院校,上海市教育委员会,大学
大连海事大学,大连市,是,否,是,工科类院校,交通部,大学
辽宁大学,沈阳市,是,否,是,综合类院校,辽宁省教育厅,大学
太原理工大学,太原市,是,否,是,工科类院校,山西省教育厅,大学
华北电力大学,北京市,是,否,是,工科类院校,教育部,大学
中国石油大学(北京),北京市,是,否,是,工科类院校,教育部,大学
