湖州市,浙江,1572,112.9,640.69,53.50,106.00
遵义市,贵州,5339,221.2,531.51,99.52,100.78
佳木斯市,黑龙江,1074,77.5,96.98,59.40,96.98
安庆市,安徽,821,74.1,311.50,65.88,89.86
盐城市,江苏,5131,243.3,608.76,121.43,147.91
漳州市,福建,401,60.4,95.24,41.86,67.25
泸州市,四川,2132,157.0,411.38,104.91,135.60
吉安市,江西,1382,62.2,230.00,39.33,56.43
商丘市,河南,1697,155.5,103.00,96.33,63.00
岳阳市,湖南,1291,103.0,159.00,70.90,100.00
柳州市,广西,1016,122.1,464.39,114.91,188.49
江门市,广东,1786,141.5,566.00,93.71,152.00
淮安市,江苏,4531,335.7,309.69,131.51,178.50
黄石市,湖北,234,85.1,233.80,85.10,79.09
自贡市,四川,1438,150.4,778.32,105.71,116.18
九江市,江西,699,71.0,109.95,65.19,106.75
孝感市,湖北,1018,95.8,110.32,52.39,53.47
连云港市,江苏,2602,231.7,718.50,100.00,214.00
常德市,湖南,2527,145.0,176.94,68.28,93.01
韶关市,广东,2874,74.1,1395.28,61.83,102.41
德阳市,四川,648,69.7,179.70,46.00,75.10
永州市,湖南,3193,117.4,100.00,46.65,64.30
安阳市,河南,544,117.9,153.00,72.58,82.00
廊坊市,河北,960,86.4,292.00,47.60,67.76
南阳市,河南,2145,212.5,640.77,125.61,150.14
张掖市,甘肃,4240,50.8,200.00,24.19,64.20
天水市,甘肃,5861,126.3,60.00,64.55,56.00
黄冈市,湖北,362,38.9,52.22,29.82,52.22
潍坊市,山东,2006,189.8,1186.54,126.54,179.34
乐山市,四川,2514,116.7,368.42,58.14,75.75
梅州市,广东,3053,96.8,376.00,43.40,58.32
六安市,安徽,3834,202.0,166.12,43.80,76.20
邵阳市,湖南,436,72.0,82.00,60.31,72.00
十堰市,湖北,5053,118.7,587.32,69.00,107.11
滨州市,山东,3763,108.4,799.90,76.49,138.82
惠州市,广东,2666,150.5,1181.65,105.38,262.67
茂名市,广东,2716,283.6,156.69,67.80,128.32
咸宁市,湖北,1503,62.7,165.00,36.55,65.80
潮州市,广东,1368,155.4,241.02,86.23,77.85
百色市,广西,3702,36.1,362.60,20.55,49.08
益阳市,湖南,1851,137.3,109.00,57.34,76.10
大同市,山西,2080,158.8,130.20,120.87,125.20
宜春市,江西,2532,111.8,88.00,44.24,70.00
佛山市,广东,2894,394.0,763.16,129.18,158.91
台州市,浙江,1536,158.4,749.98,98.39,139.80
蚌埠市,安徽,957,115.0,365.48,80.69,145.00
德州市,山东,1752,123.6,602.00,79.64,154.13
宜宾市,四川,1987,140.9,139.75,80.55,94.17
阜阳市,安徽,1924,226.4,338.87,76.41,123.78
肇庆市,广东,2960,138.9,532.45,59.60,119.84
黄山市,安徽,2377,51.4,461.80,34.33,67.43
莆田市,福建,2284,229.8,244.00,53.30,89.88
宝鸡市,陕西,3625,142.1,156.30,82.26,90.08
牡丹江市,黑龙江,2675,87.8,92.68,73.00,82.24
绥化市,黑龙江,2743,83.1,92.77,35.20,45.00
滁州市,安徽,1404,54.1,282.60,38.16,85.34
曲靖市,云南,4354,114.8,89.17,67.94,88.97
庆阳市,甘肃,996,39.8,25.44,19.21,24.58
娄底市,湖南,428,56.4,62.20,44.30,49.80
承德市,河北,1253,59.9,718.34,53.36,117.36
上饶市,江西,1770,146.9,92.01,66.44,77.76
固原市,宁夏,3501,46.0,52.33,14.73,34.99
怀化市,湖南,723,62.1,64.00,62.00,64.00
襄阳市,湖北,3673,209.9,374.30,113.31,170.33
许昌市,河南,1099,118.0,97.00,42.28,95.00
梧州市,广西,1850,79.4,485.01,48.18,57.19
郴州市,湖南,2246,76.3,580.00,56.26,77.50
长治市,山西,334,74.0,76.20,70.43,59.30
铜陵市,安徽,1201,73.8,205.60,44.12,81.32
内江市,四川,1569,141.3,278.93,62.69,76.20
驻马店市,河南,1365,85.6,185.00,44.00,80.40
